Rollno,Name,Gender,English,Maths,Science,Category
1,Student_1,Male,85.0,,78.0,A
2,Student_2,Female,78.0,75.0,83.0,C
3,Student_3,Male,,92.0,,A
4,Student_4,Male,90.0,85.0,91.0,C
5,Student_5,Male,88.0,88.0,86.0,C
6,Student_6,Female,,81.0,89.0,C
7,Student_7,Male,76.0,77.0,,B
8,Student_8,Male,80.0,,85.0,B
9,Student_9,Female,,94.0,93.0,B
10,Student_10,Male,95.0,91.0,,B
11,Student_11,Male,82.0,,88.0,C
12,Student_12,Male,89.0,78.0,84.0,B
13,Student_13,Female,,88.0,91.0,B
14,Student_14,Male,77.0,80.0,,C
15,Student_15,Male,93.0,,80.0,B
16,Student_16,Female,,95.0,87.0,A
17,Student_17,Male,85.0,85.0,92.0,B
18,Student_18,Male,91.0,,,C
19,Student_19,Male,,92.0,86.0,A
20,Student_20,Female,87.0,83.0,89.0,B
